Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,6609.399902,6650.899902,6608.299805,6647.899902,6647.899902,1062712700
2019-06-19,6647.899902,6728.500000,6647.899902,6728.500000,6728.500000,946425700
2019-06-20,6728.500000,6767.899902,6720.799805,6767.899902,6767.899902,1301164000
2019-06-21,6767.899902,6773.399902,6725.700195,6734.299805,6734.299805,1589634100
2019-06-24,6734.299805,6745.500000,6700.299805,6745.500000,6745.500000,822682400
2019-06-25,6745.500000,6758.799805,6725.700195,6734.500000,6734.500000,922709700
2019-06-26,6734.500000,6734.500000,6713.399902,6716.100098,6716.100098,1005504200
2019-06-27,6716.100098,6743.000000,6686.299805,6743.000000,6743.000000,958009200
2019-06-28,6743.000000,6746.200195,6699.200195,6699.200195,6699.200195,1168656900
2019-07-01,6699.200195,6745.700195,6699.200195,6731.399902,6731.399902,751663000
2019-07-02,6731.399902,6772.399902,6731.399902,6741.100098,6741.100098,791185700
2019-07-03,6741.100098,6777.399902,6732.299805,6770.100098,6770.100098,835435700
2019-07-04,6770.100098,6814.799805,6770.100098,6800.899902,6800.899902,731524500
2019-07-05,6800.899902,6850.100098,6797.899902,6831.799805,6831.799805,755520700
2019-07-08,6821.899902,6831.799805,6757.399902,6757.399902,6757.399902,646549000
2019-07-09,6757.399902,6764.200195,6727.500000,6750.100098,6750.100098,727630900
2019-07-10,6750.100098,6803.000000,6750.100098,6777.700195,6777.700195,823585300
2019-07-11,6777.700195,6818.399902,6776.799805,6805.799805,6805.799805,845749300
2019-07-12,6805.799805,6806.700195,6779.899902,6788.799805,6788.799805,846926000
2019-07-15,6787.299805,6787.299805,6734.000000,6746.200195,6746.200195,616583300
2019-07-16,6746.200195,6759.600098,6735.799805,6735.799805,6735.799805,735465300
2019-07-17,6735.799805,6766.399902,6721.200195,6764.000000,6764.000000,706769400
2019-07-18,6764.000000,6764.000000,6718.500000,6735.399902,6735.399902,723177800
2019-07-19,6735.399902,6789.799805,6734.700195,6786.200195,6786.200195,693385700
2019-07-22,6786.200195,6798.600098,6763.799805,6781.200195,6781.200195,747212200
2019-07-23,6781.200195,6818.100098,6778.500000,6812.500000,6812.500000,861786500
2019-07-24,6812.500000,6869.700195,6812.500000,6862.399902,6862.399902,884441300
2019-07-25,6862.399902,6901.899902,6857.500000,6901.899902,6901.899902,991586400
2019-07-26,6901.899902,6901.899902,6863.899902,6879.299805,6879.299805,978786300
2019-07-29,6879.299805,6919.700195,6879.299805,6911.399902,6911.399902,722248700
2019-07-30,6911.399902,6958.700195,6911.399902,6928.299805,6928.299805,841078800
2019-07-31,6928.299805,6928.299805,6896.700195,6896.700195,6896.700195,1014396600
2019-08-01,6896.700195,6896.700195,6864.799805,6871.899902,6871.899902,822450600
2019-08-02,6871.899902,6871.899902,6826.799805,6846.100098,6846.100098,819880500
2019-08-05,6846.100098,6846.100098,6710.299805,6710.600098,6710.600098,841768400
2019-08-06,6710.600098,6710.600098,6508.700195,6546.500000,6546.500000,1286135100
2019-08-07,6546.500000,6598.799805,6540.899902,6588.500000,6588.500000,862509300
2019-08-08,6588.500000,6642.299805,6537.299805,6642.299805,6642.299805,977402500
2019-08-09,6642.299805,6670.399902,6641.200195,6663.399902,6663.399902,882917000
2019-08-12,6663.399902,6670.100098,6634.500000,6670.100098,6670.100098,739232800
2019-08-13,6670.100098,6672.500000,6638.399902,6648.100098,6648.100098,992145600
2019-08-14,6648.100098,6681.000000,6638.600098,6677.500000,6677.500000,1078230400
2019-08-15,6677.500000,6677.500000,6488.299805,6490.799805,6490.799805,1148270200
2019-08-16,6490.799805,6505.700195,6476.700195,6485.899902,6485.899902,1007042500
2019-08-19,6485.899902,6552.000000,6485.899902,6550.500000,6550.500000,801290600
2019-08-20,6550.500000,6627.399902,6550.500000,6627.399902,6627.399902,941414200
2019-08-21,6627.399902,6627.399902,6554.000000,6572.600098,6572.600098,923975100
2019-08-22,6572.600098,6612.000000,6572.600098,6593.000000,6593.000000,863531900
2019-08-23,6593.000000,6617.700195,6586.299805,6614.299805,6614.299805,1003861400
2019-08-26,6614.299805,6614.299805,6501.500000,6531.000000,6531.000000,1007879700
2019-08-27,6531.000000,6576.399902,6531.000000,6565.600098,6565.600098,1221372000
2019-08-28,6565.600098,6601.799805,6559.100098,6600.799805,6600.799805,990604400
2019-08-29,6600.799805,6609.000000,6575.100098,6605.700195,6605.700195,996237800
2019-08-30,6605.700195,6706.700195,6605.700195,6698.200195,6698.200195,1211200000
2019-09-02,6698.200195,6698.899902,6658.200195,6677.500000,6677.500000,813593700
